,domestic,international,month,total,year
0,815489,92565,10,908054,2002
1,766775,91342,11,858117,2002
2,782175,96881,12,879056,2002
3,785651,98053,1,883704,2003
4,690750,85965,2,776715,2003
5,797634,97929,3,895563,2003
6,766639,89398,4,856037,2003
7,789857,87671,5,877528,2003
8,798841,95435,6,894276,2003
9,832075,102795,7,934870,2003
10,831185,102145,8,933330,2003
11,782264,90681,9,872945,2003
12,818777,91820,10,910597,2003
13,766266,91004,11,857270,2003
14,798879,97094,12,895973,2003
15,787719,98671,1,886390,2004
16,762038,92915,2,854953,2004
17,834912,101541,3,936453,2004
18,818293,100027,4,918320,2004
19,833861,102602,5,936463,2004
20,837451,104769,6,942220,2004
21,871526,113956,7,985482,2004
22,883458,112497,8,995955,2004
23,819715,96493,9,916208,2004
24,861739,97757,10,959496,2004
25,820586,96169,11,916755,2004
26,836749,103282,12,940031,2004
27,807817,104435,1,912252,2005
28,761366,94597,2,855963,2005
29,867055,108324,3,975379,2005
30,838535,105103,4,943638,2005
31,873425,108663,5,982088,2005
32,863921,110219,6,974140,2005
33,887493,118188,7,1005681,2005
34,891350,116031,8,1007381,2005
35,815316,101031,9,916347,2005
36,831717,99765,10,931482,2005
37,797856,96426,11,894282,2005
38,802522,104899,12,907421,2005
39,785817,106320,1,892137,2006
40,716229,96254,2,812483,2006
41,824241,110615,3,934856,2006
42,794799,107878,4,902677,2006
43,824452,108911,5,933363,2006
44,820712,111788,6,932500,2006
45,852500,119813,7,972313,2006
46,866941,118451,8,985392,2006
47,800175,104855,9,905030,2006
48,828582,103471,10,932053,2006
49,792846,100564,11,893410,2006
50,805456,110289,12,915745,2006
51,804290,110453,1,914743,2007
52,724968,99896,2,824864,2007
53,830718,114004,3,944722,2007
54,809999,110511,4,920510,2007
55,844412,111809,5,956221,2007
56,832520,114555,6,947075,2007
57,864001,122527,7,986528,2007
58,872656,121949,8,994605,2007
59,805360,106044,9,911404,2007
60,841460,106443,10,947903,2007
61,804957,104662,11,909619,2007
62,804237,113110,12,917347,2007
63,793595,113045,1,906640,2008
64,746895,106644,2,853539,2008
65,817736,117470,3,935206,2008
66,799847,113495,4,913342,2008
67,820332,114686,5,935018,2008
68,816138,116272,6,932410,2008
69,844962,122974,7,967936,2008
70,823729,121976,8,945705,2008
71,728544,101441,9,829985,2008
72,758740,102984,10,861724,2008
73,707430,100507,11,807937,2008
74,720279,107283,12,827562,2008
75,710155,109016,1,819171,2009
76,660098,98596,2,758694,2009
77,747568,111898,3,859466,2009
78,729067,108439,4,837506,2009
79,749196,99434,5,848630,2009
80,760357,106627,6,866984,2009
81,794188,115443,7,909631,2009
82,781510,113768,8,895278,2009
83,709954,97400,9,807354,2009
84,726799,98788,10,825587,2009
85,694945,97589,11,792534,2009
86,705101,106367,12,811468,2009
87,695109,108804,1,803913,2010
88,623211,96264,2,719475,2010
89,740135,111927,3,852062,2010
90,722797,106640,4,829437,2010
91,741802,110374,5,852176,2010
92,751554,113690,6,865244,2010
93,782645,122866,7,905511,2010
94,781584,117795,8,899379,2010
95,718801,100656,9,819457,2010
96,737409,103417,10,840826,2010
97,704530,98623,11,803153,2010
98,702788,106912,12,809700,2010
99,681361,109621,1,790982,2011
100,625691,98560,2,724251,2011
101,754851,114192,3,869043,2011
102,720272,110620,4,830892,2011
103,743929,109856,5,853785,2011
104,756838,112313,6,869151,2011
105,783938,122315,7,906253,2011
106,768089,116831,8,884920,2011
107,706499,104962,9,811461,2011
108,723342,106471,10,829813,2011
109,682775,101704,11,784479,2011
110,701502,111934,12,813436,2011
111,677862,111741,1,789603,2012
112,647146,104745,2,751891,2012
113,728770,117555,3,846325,2012
114,707126,112750,4,819876,2012
115,725850,114385,5,840235,2012
116,735215,117309,6,852524,2012
117,757577,124934,7,882511,2012
118,753520,123078,8,876598,2012
119,678061,107311,9,785372,2012
120,694790,106620,10,801410,2012
121,669357,104854,11,774211,2012
122,670926,113805,12,784731,2012
123,662137,115425,1,777562,2013
124,607674,103764,2,711438,2013
125,710251,120765,3,831016,2013
126,693969,115552,4,809521,2013
127,721525,118763,5,840288,2013
128,719431,119376,6,838807,2013
129,751574,127554,7,879128,2013
130,747152,125665,8,872817,2013
131,683465,108209,9,791674,2013
132,708485,111647,10,820132,2013
133,655857,107734,11,763591,2013
134,662418,116798,12,779216,2013
135,624949,116059,1,741008,2014
136,577281,103775,2,681056,2014
137,696466,124874,3,821340,2014
138,676427,119965,4,796392,2014
139,695943,122536,5,818479,2014
140,702089,126394,6,828483,2014
141,735523,134191,7,869714,2014
142,724088,130577,8,854665,2014
143,665581,111093,9,776674,2014
144,694036,112478,10,806514,2014
145,649019,110523,11,759542,2014
146,666401,121656,12,788057,2014
147,634868,120629,1,755497,2015
148,570076,107407,2,677483,2015
149,684009,124658,3,808667,2015
150,669870,122749,4,792619,2015
151,690230,125341,5,815571,2015
152,697511,127980,6,825491,2015
153,732894,137374,7,870268,2015
154,724134,134508,8,858642,2015
155,658506,115656,9,774162,2015
156,687829,117640,10,805469,2015
157,651293,112641,11,763934,2015
158,659939,125856,12,785795,2015
159,636907,124593,1,761500,2016
160,612287,115907,2,728194,2016
161,697968,129902,3,827870,2016
162,675765,125577,4,801342,2016
163,703076,129532,5,832608,2016
164,713782,134111,6,847893,2016
165,731220,141593,7,872813,2016
166,732136,138002,8,870138,2016
167,673306,121135,9,794441,2016
168,688482,121761,10,810243,2016
169,658300,116009,11,774309,2016
170,662304,131724,12,794028,2016
171,645310,130521,1,775831,2017
172,592178,115838,2,708016,2017
173,697762,133645,3,831407,2017
174,673496,132131,4,805627,2017
175,706879,133621,5,840500,2017
176,718964,139509,6,858473,2017
177,739698,148190,7,887888,2017
178,735373,142359,8,877732,2017
179,652125,120216,9,772341,2017
180,691702,123695,10,815397,2017
